SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
helianthus annuus,,sunflower,helianthus,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Fifty plants,herb,,North America,northern,Cultivated,High,Major,Widespread/Common,bred,,
helianthus annuus,,common sunflower,helianthus,asteraceae,asterales,dicots,sunflowers,,hemicryptophyte,around amman,herb,,North America,northern,Both,High,Major,Widespread/Common,bred,,
heliconia bihai,,red palulu,heliconia,heliconiaceae,zingiberales,monocots,,,hemicryptophyte,jakarta,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
heliconia latispatha,,expanded lobsterclaw,heliconia,heliconiaceae,zingiberales,monocots,,,hemicryptophyte,Kew,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
heliconia rostrata,,hanging lobster claw,heliconia,heliconiaceae,zingiberales,monocots,,,hemicryptophyte,jakarta,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
heliopsis helianthoides,,false sunflower,heliopsis,asteraceae,asterales,dicots,oxeyes,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
hellenia speciosa,,crepe ginger,hellenia,costaceae,zingiberales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
helminthotheca echioides,,bristly oxtongue,helminthotheca,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,Scandinavian forest,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
hemerocallis lilioasphodelus,,yellow daylily,hemerocallis,asphodelaceae,asparagales,monocots,,,hemicryptophyte,london,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
heracleum sphondylium,,cow parsnip,heracleum,apiaceae,apiales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
heuchera americana,,american alumroot,heuchera,saxifragaceae,saxifragales,dicots,,,hemicryptophyte,greenwich,herb,,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
heuchera micrantha,,crevice alumroot,heuchera,saxifragaceae,saxifragales,dicots,alumroots,,hemicryptophyte,greenwich,herb,,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
hevea brasiliensis,,rubber tree,hevea,euphorbiaceae,malpighiales,dicots,,spurges,phanerophyte,Fifty plants,tree,,South America,southern,Cultivated,Moderate,Major,Widespread/Common,bred,,
hibbertia scandens,,climbing guinea flower,hibbertia,dilleniaceae,dilleniales,dicots,,,phanerophyte,sydney,vine,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,
hibiscus moscheutos,,rose mallow,hibiscus,malvaceae,malvales,dicots,,,hemicryptophyte,new york,herb,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
hibiscus rosa-sinensis,,chinese hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallows,phanerophyte,yarmouk river,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
hibiscus sabdariffa,,roselle,hibiscus,malvaceae,malvales,dicots,hibiscuses,,hemicryptophyte,luang prabang,herb,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
hibiscus syriacus,,common hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,,phanerophyte,around amman,shrub,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,
hibiscus tiliaceus,,sea hibiscus,hibiscus,malvaceae,malvales,dicots,,,phanerophyte,,tree,,,both,Wild,Low,None,Widespread/Common,natural,,
holcus lanatus,,tufted grass,holcus,poaceae,poales,monocots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
homalanthus populifolius,,bleeding heart,homalanthus,euphorbiaceae,malpighiales,dicots,,,phanerophyte,sydney,shrub,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,
hordeum murinum,,wild barley,hordeum,poaceae,poales,monocots,,,hemicryptophyte,kintbury,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
hordeum vulgare,,barley,hordeum,poaceae,poales,monocots,barleys,grasses,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,
humulus lupulus,,hop,humulus,cannabaceae,rosales,dicots,,,phanerophyte,Fifty plants,vine,,,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
hydrangea arborescens,,smooth hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,phanerophyte,knighton,shrub,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
hydrangea macrophylla,,mophead hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,,phanerophyte,greenwich,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
hydrangea quercifolia,,oakleaf hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,phanerophyte,new york,shrub,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
hylocomium splendens,,stairstep moss,hylocomium,hylocomiaceae,hypnales,mosses,hylocomium,,hemicryptophyte,charlevoix,herb,,,northern,Wild,Low,None,Widespread/Common,natural,,
hylodesmum glutinosum,,pointed-leaved tick-trefoil,hylodesmum,fabaceae,fabales,dicots,,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
hylotelephium telephium,,orpine,hylotelephium,crassulaceae,saxifragales,dicots,,,hemicryptophyte,greenwich,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
hymenocallis littoralis,,beach spider lily,hymenocallis,amaryllidaceae,asparagales,monocots,,,hemicryptophyte,jakarta,herb,,,both,Cultivated,High,Limited,Widespread/Common,bred,,
hypericum perforatum,,st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
hypericum pulchrum,,slender st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
hypoestes phyllostachya,,polka dot plant,hypoestes,acanthaceae,lamiales,dicots,,,hemicryptophyte,ottawa,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,
ibervillea lindheimeri,,snake apple,ibervillea,cucurbitaceae,cucurbitales,dicots,,,phanerophyte,yogyakarta,vine,,North America,northern,Wild,Low,None,Locally common,natural,,
ilex cornuta,,horned holly,ilex,aquifoliaceae,aquifoliales,dicots,,,phanerophyte,kintbury,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
ilex mucronata,,mountain holly,ilex,aquifoliaceae,aquifoliales,dicots,hollies,,phanerophyte,charlevoix,shrub,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
impatiens hawkeri,,new guinea impatiens,impatiens,balsaminaceae,ericales,dicots,,,hemicryptophyte,Kew,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,
impatiens walleriana,,busy lizzie,impatiens,balsaminaceae,ericales,dicots,,,hemicryptophyte,bandung,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
indigofera tinctoria,,indigo,indigofera,fabaceae,fabales,dicots,,legumes,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,Low,Major,Widespread/Common,bred,,
inula helenium,,elfdock,inula,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
ipomoea batatas,,sweet potato,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,bindweeds,hemicryptophyte,Fifty plants,herb,,Central America,,Cultivated,Moderate,Major,Widespread/Common,bred,,
ipomoea cairica,,coast morning glory,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,,phanerophyte,bandung,vine,,Africa,southern,Both,Low,None,Widespread/Common,natural,,
iresine herbstii,,bloodleaf,iresine,amaranthaceae,caryophyllales,dicots,,amaranth,hemicryptophyte,Expo,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
iris germanica,,bearded iris,iris,iridaceae,asparagales,monocots,irises,irises,hemicryptophyte,around amman,herb,,Europe,northern,Cultivated,High,Limited,Widespread/Common,bred,,
iris nigricans,,black iris,iris,iridaceae,asparagales,monocots,irises,irises,hemicryptophyte,online,herb,,Mediterranean,northern,Both,Moderate,Limited,Locally common,natural,,
iris siberica,,siberian iris,Iris,iridaceae,asparagales,monocots,irises,,hemicryptophyte,Kew,herb,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,
ixora chinensis,,chinese ixora,ixora,rubiaceae,gentianales,dicots,,,phanerophyte,jakarta,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
ixora coccinea,,jungle flame,ixora,rubiaceae,gentianales,dicots,,,phanerophyte,,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
jacaranda mimosifolia,,blue jacaranda,jacaranda,bignoniaceae,lamiales,dicots,jacarandas,bignonia,phanerophyte,yarmouk river,tree,,South America,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
jacobaea maritima,,silver ragwort,jacobaea,asteraceae,asterales,dicots,,,hemicryptophyte,around amman,herb,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
jacobaea vulgaris,,ragwort,jacobaea,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
jasminum mesnyi,,primrose jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,phanerophyte,embassy garden,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
jasminum nudiflorum,,winter jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,,phanerophyte,knighton,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
jasminum sambac,,arabian jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,phanerophyte,yarmouk river,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
jatropha curcas,,poison nut,jatropha,euphorbiaceae,malpighiales,dicots,,,phanerophyte,luang prabang,shrub,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
jatropha gossypiifolia,,bellyache bush,jatropha,euphorbiaceae,malpighiales,dicots,,,phanerophyte,timor leste,shrub,,Central America,,Wild,Low,None,Widespread/Common,natural,,
jatropha integerrima,,peregrina,jatropha,euphorbiaceae,malpighiales,dicots,,,phanerophyte,,shrub,,,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
juglans nigra,,eastern black walnut,juglans,juglandaceae,fagales,dicots,walnuts,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
juglans regia,,persian walnut,juglans,juglandaceae,fagales,dicots,walnuts,walnuts,phanerophyte,online,tree,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
juniperus communis,,common juniper,juniperus,cupressaceae,cupressales,conifers,,,phanerophyte,,shrub,,,northern,Wild,Low,None,Widespread/Common,natural,,
juniperus oxycedrus,,western prickly juniper,juniperus,cupressaceae,cupressales,conifers,,,phanerophyte,,shrub,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
justicia spicigera,,moyotle,justicia,acanthaceae,lamiales,dicots,justicia,,hemicryptophyte,around amman,herb,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
kalanchoe blossfeldiana,,flaming katy,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,hemicryptophyte,Amman garden,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,
kalanchoe daigremontiana,,alligator plant,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,hemicryptophyte,Amman garden,herb,,,,Cultivated,High,Limited,Widespread/Common,bred,,
kalanchoe pinnatum,,life plant,kalanchoe,crassulaceae,saxifragales,dicots,,,hemicryptophyte,luang prabang,herb,,,,Both,Moderate,Limited,Widespread/Common,natural,,
kigelia africana,,sausage tree,kigelia,bignoniaceae,lamiales,dicots,,,phanerophyte,jakarta,tree,,Africa,southern,Both,Low,None,Widespread/Common,natural,,
kniphofia uvaria,,red hot poker,kniphofia,asphodelaceae,asparagales,monocots,,,hemicryptophyte,london,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
kroenleinia grusonii,,golden barrel cactus,kroenleinia,cactaceae,caryophyllales,dicots,,,hemicryptophyte,,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
kumara plicatilis,,fan aloe,kumara,asphodelaceae,asparagales,monocots,,,hemicryptophyte,singapore,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
kunzea robusta,,rawinui,kunzea,myrtaceae,myrtales,dicots,,,phanerophyte,Kew,tree,,,southern,Wild,Low,None,Locally common,natural,,
lactuca serriola,,prickly lettuce,lactuca,asteraceae,asterales,dicots,,,hemicryptophyte,,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
lantana camara,,common lantana,lantana,verbenaceae,lamiales,dicots,,,phanerophyte,Kempinski,shrub,,Central America,,Both,Moderate,Limited,Widespread/Common,natural,,
larix decidua,,,larix,pinaceae,pinales,conifers,larches,,phanerophyte,knighton,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
larix kaempferi,,japanese larch,larix,pinaceae,pinales,conifers,larches,,phanerophyte,kew,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
larix laricina,,tamarack,larix,pinaceae,pinales,conifers,larches,,phanerophyte,charlevoix,tree,,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
lathyrus odoratus,,sweet pea,lathyrus,fabaceae,fabales,dicots,,legumes,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
lathyrus sylvestris,,flat pea,lathyrus,fabaceae,fabales,dicots,sweet peas and vetchlings,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
lavandula angustifolia,,english lavender,lavandula,lamiaceae,lamiales,dicots,lavanders,mints,hemicryptophyte,Expo,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
lavandula dentata,,french lavender,lavandula,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,Office,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
lavandula stoechas,,topped lavender,lavandula,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,garden,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
lemmaphyllum microphyllum,,green penny fern,lemmaphyllum,polypodiacea,polypodiales,ferns,,,hemicryptophyte,jakarta,herb,,Asia,northern,Wild,Low,None,Widespread/Common,natural,,
leonurus cardiaca,,common motherwort,leonorus,lamiaceae,lamiales,dicots,,,hemicryptophyte,greenwich,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
leucadendron argenteum,,cape silver tree,leucadendron,proteaceae,proteales,dicots,,,phanerophyte,Kew,tree,,Africa,southern,Cultivated,Moderate,Limited,Rare,bred,,
leucophyllum frutescens,,cenizo,leucophyllum,scrophulariaceae,lamiales,dicots,,,phanerophyte,Expo,shrub,,North America,northern,Both,Low,None,Widespread/Common,natural,,
leucospermum conocarpodendron,,grey tree-pincushion,leucospermum,proteaceae,proteales,dicots,,,phanerophyte,kew,shrub,,Africa,southern,Cultivated,Moderate,Limited,Locally common,bred,,
leymus mollis,,american dune grass,leymus,poaceae,poales,monocots,,,hemicryptophyte,sooke,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
liatris pycnostachya,,prairie blazing star,liatris,asteraceae,asterales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
libertia ixioides,,mikoikoi,libertia,iridaceae,asparagales,monocots,,,hemicryptophyte,Kew,herb,,,southern,Both,Low,None,Locally common,natural,,
ligustrum lucidum,,tree privet,ligustrum,oleaceae,lamiales,dicots,privets,olive,phanerophyte,Amman garden,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
lilium bulbiferum,,fire lily,lilium,liliaceae,liliales,monocots,lilies,lilies,geophyte,Flower bouquet,herb,,Europe,northern,Both,High,Limited,Widespread/Common,bred,,
lilium lancifolioum,,tiger lily,lilium,liliaceae,liliales,monocots,lilies,lilies,hemicryptophyte,Flower bouquet,herb,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,
lilium martagon,,martagon lily,lilium,liliaceae,liliales,monocots,,,hemicryptophyte,sooke,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
linaria purpurea,,,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,hemicryptophyte,knighton,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
linaria vulgaris,,common toadflax,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
linum usitatissimum,,flax/linseed,linum,linaceae,malpighiales,dicots,,flaxes,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
Liquidambar formosana,,Chinese sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,,,phanerophyte,Kew,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
Liquidambar styraciflua,,American sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,,,phanerophyte,Kew,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
liriodendron tulipifera,,tulip tree,liriodendron,magnoliaceae,magnoliales,early angiosperms,,,phanerophyte,kew,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
lobularia maritima,,sweet alyssym,lobularia,brassicaceae,brassicales,dicots,,,hemicryptophyte,around amman,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
lonicera implexa,,mediterranean honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,phanerophyte,amman,vine,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
lonicera japonica,,japanese honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,phanerophyte,Amman garden,vine,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
lonicera morrowii,,morrow's honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,honeysuckles,,phanerophyte,greenwich,shrub,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
lonicera periclymenum,,common honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,,phanerophyte,knighton,vine,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
ludwigia palustris,,water purslane,ludwigia,onagraceae,myrtales,dicots,,,hemicryptophyte,greenwich,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
luffa cylindrica,,sponge gourd,luffa,cucurbitaceae,cucurbitales,dicots,,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
lunaria annua,,honesty,lunaria,brassicaceae,brassicales,dicots,,,therophyte,knighton,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
lycoris radiata,,red spider lily,lycoris,amaryllidaceae,asparagales,monocots,,,hemicryptophyte,perth,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
lysimachia clethroides,,gooseneck loosestrife,lysimachia,primulaceae,ericales,dicots,,,hemicryptophyte,greenwich,herb,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
lysimachia punctata,,dotted loosestrife,lysimachia,primulaceae,ericales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
maackia chinensis,,chinese maackia,maackia,fabaceae,fabales,dicots,,,phanerophyte,kew,tree,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
magnolia grandiflora,,southern magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,magnolias,magnolia,phanerophyte,Office,tree,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
magnolia macrophylla,,bigleaf magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,,,phanerophyte,new york,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Locally common,natural,,
maleleuca viminalis,,weeping bottlebrush,maleleuca,myrtaceae,myrtales,dicots,tea trees,myrtles,phanerophyte,Amman garden,tree,Australia,Oceania,southern,Both,High,Limited,Widespread/Common,bred,,
mallotus paniculatus,,turn-in-the-wind,mallotus,euphorbiaceae,malpighiales,dicots,,spurges,phanerophyte,Expo,tree,,Asia,northern,Wild,Low,None,Widespread/Common,natural,,
malva moschata,,musk mallow,malva,malvaceae,malvales,dicots,mallows,,hemicryptophyte,charlevoix,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
malva parviflora,,cheeseweed mallow,malva,malvaceae,malvales,dicots,,mallows,hemicryptophyte,amman,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
malva sylvestris,,common mallow,malva,malvaceae,malvales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
mangifera indica,,indian mango,mangifera,anacardiaceae,sapindales,dicots,mangoes,cashews and sumac,phanerophyte,yarmouk river,tree,,,,Cultivated,High,Major,Widespread/Common,bred,,
manihot esculenta,,cassava,manihot,euphorbiaceae,malpighiales,dicots,,,hemicryptophyte,jakarta,herb,,South America,southern,Cultivated,Moderate,Major,Widespread/Common,bred,,
mastocarpus papillatus,,grapestone,mastocarpus,phyllophoraceae,gigartinales,algae,red algae,,hemicryptophyte,nanaimo,herb,,,,Wild,Low,None,Widespread/Common,natural,,
matthiola incana,,hoary stock,matthiola,brassicaceae,brassicales,dicots,,mustard and cabbage,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
medicago sativa,,alfalfa,medicago,fabaceae,fabales,dicots,,,hemicryptophyte,azraq,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
melia azedarach,,chinaberry,melia,meliaceae,sapindales,dicots,,mahogany and chinaberry,phanerophyte,Amman garden,tree,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
melicope ternata,,wharangi,melicope,rutaceae,sapindales,dicots,,,phanerophyte,Kew,tree,,,southern,Wild,Low,None,Locally common,natural,,
mentha aquatica,,water mint,mentha,lamiaceae,lamiales,dicots,mints,,hemicryptophyte,greenwich,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
mentha longifolia,,horse mint,mentha,lamiaceae,lamiales,dicots,,mints,hemicryptophyte,rum desert,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
mentha spicata,,spearmint,mentha,lamiaceae,lamiales,dicots,mints,mints,hemicryptophyte,Amman garden,herb,,Europe,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
mesembryanthemum cordifolum,,heart-leaf ice plant,mesembryanthemum,aizoaceae,caryophyllales,dicots,ice plants,fig-marigolds,hemicryptophyte,Amman garden,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
metasequoia glyptostroboides,,dawn redwood,metasequoia,cupressaceae,cupressales,conifers,,,phanerophyte,sooke,tree,China,East Asia,northern,Both,Moderate,Limited,Rare,natural,,
mirabilis jalapa,,marvel of peru,mirabilis,nyctaginaceae,caryophyllales,dicots,four o'clocks,,hemicryptophyte,around amman,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
monarda didyma,,scarlet beebalm,monarda,lamiaceae,lamiales,dicots,beebalms and bergamots,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
monarda fistulosa,,wild bergamot,monarda,lamiaceae,lamiales,dicots,,,hemicryptophyte,greenwich,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
monarda punctata,,horsemint,monarda,lamiaceae,lamiales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
monstera deliciosa,,swiss cheese plant,monstera,araceae,alismatales,monocots,,arums,phanerophyte,Office,vine,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
morus alba,,white mulberry,morus,moraceae,rosales,dicots,mulberries,,phanerophyte,around amman,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
musa acuminata,,cavendish banana,musa,musaceae,zingiberales,monocots,bananas,,hemicryptophyte,Expo,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
musa ornata,,flowering banana,musa,musaceae,zingiberales,monocots,bananas,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
musa velutina,,,musa,musaceae,zingiberales,monocots,bananas,,hemicryptophyte,luang prabang,herb,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
musa x paradisiaca,,plantain,musa,musaceae,zingiberales,monocots,bananas,bananas,hemicryptophyte,yarmouk river,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
muscari neglectum,,grape hyacinth,muscari,asparagaceae,asparagales,monocots,,asparagus,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Both,High,Limited,Widespread/Common,bred,,
myoporum insulare,,australian ngaio,myoporum,scrophulariaceae,lamiales,dicots,,,phanerophyte,Amman garden,shrub,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,
myoporum laetum,,ngaio,myoporum,scrophulariaceae,lamiales,dicots,,,phanerophyte,around amman,shrub,,,southern,Both,Moderate,Limited,Widespread/Common,natural,,
myristica fragrans,,nutmeg,myristica,myristicaceae,magnoliales,early angiosperms,,,phanerophyte,Fifty plants,tree,,Asia,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
myrtus communis,,myrtle,myrtus,myrtaceae,myrtales,dicots,,,phanerophyte,,shrub,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
nandina domestica,,heavenly bamboo,nandina,berberidaceae,ranunculales,dicots,,barberry,phanerophyte,Office,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
nelumbo lutea,,,nelumbo,nelumbonaceae,proteales,dicots,,,hemicryptophyte,lombok,herb,,North America,northern,Wild,Low,None,Locally common,natural,,
nelumbo nucifera,,sacred lotus,nelumbo,nelumbonaceae,proteales,dicots,,,hemicryptophyte,yogyakarta,herb,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
nephelium lappaceum,,rambutan,nephelium,sapindaceae,sapindales,dicots,,,phanerophyte,yogyakarta,tree,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
nereocystis luetkeana,,bull kelp,nereocystis,laminariaceae,laminariales,algae,,,hemicryptophyte,sooke,herb,,,,Wild,Low,None,Widespread/Common,natural,,
nerium oleander,,oleander,nerium,apocynaceae,gentianales,dicots,,dog-banes,phanerophyte,Amman garden,shrub,,Mediterranean,northern,Cultivated,High,Limited,Widespread/Common,bred,,
nesiota elliptica,,st helena olive,nesiota,rhamnaceae,rosales,dicots,,,phanerophyte,kew,shrub,,,,Wild,Low,None,Very rare/Endangered,natural,,
nicotiana tabacum,,tobacco,nicotiana,solanaceae,solanales,dicots,,nightshades,hemicryptophyte,Fifty plants,herb,,South America,southern,Cultivated,High,Major,Widespread/Common,bred,,
