SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
papaver somniferum,sleep-bringing poppy,opium poppy,papaver,papaveraceae,ranunculales,dicots,poppies,poppy family,therophyte,,herb,Eastern Mediterranean,Mediterranean,Northern,Both,Moderate,Major,Locally common,natural,Source of opium and poppy seeds; large decorative seed pods; strictly regulated,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Papaver_somniferum_flowers.jpg/1024px-Papaver_somniferum_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
parthenocissus inserta,inserted virginia creeper,thicket creeper,parthenocissus,vitaceae,vitales,dicots,virginia creepers,grape family,phanerophyte,,vine,Central North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Five-leaflet compound leaves; excellent fall color; less aggressive than P. quinquefolia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Parthenocissus_inserta_leaves.jpg/1024px-Parthenocissus_inserta_leaves.jpg
parthenocissus tricuspidata,three-pointed virginia creeper,boston ivy,parthenocissus,vitaceae,vitales,dicots,virginia creepers,grape family,phanerophyte,,vine,East Asia,Asia,Northern,Both,High,Major,Widespread/Common,natural,Three-lobed leaves; brilliant fall color; popular for covering buildings,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Parthenocissus_tricuspidata_leaves.jpg/1024px-Parthenocissus_tricuspidata_leaves.jpg
parthernocissus quinquefolia,five-leaflet virginia creeper,virginia creeper,parthenocissus,vitaceae,vitales,dicots,virginia creepers,grape family,phanerophyte,,vine,Eastern North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Five-leaflet palmate leaves; spectacular fall color; aggressive climber,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Parthenocissus_quinquefolia_leaves.jpg/1024px-Parthenocissus_quinquefolia_leaves.jpg
paspalum notatum,marked paspalum,bahiagrass,paspalum,poaceae,poales,monocots,paspalum grasses,grass family,hemicryptophyte,,herb,South America,South America,Southern,Both,Moderate,Major,Widespread/Common,natural,Warm-season turfgrass; drought-tolerant; widely used in southern regions,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Paspalum_notatum_inflorescence.jpg/1024px-Paspalum_notatum_inflorescence.jpg
passiflora caerulea,blue passion flower,blue passion flower,passiflora,passifloraceae,malpighiales,dicots,passion vines,passion flower family,phanerophyte,,vine,South America,South America,Southern,Both,High,Major,Locally common,natural,Spectacular blue and white flowers; edible orange fruits; hardy climbing vine,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Passiflora_caerulea_flower.jpg/1024px-Passiflora_caerulea_flower.jpg
passiflora edulis,edible passion flower,passion fruit,passiflora,passifloraceae,malpighiales,dicots,passion vines,passion flower family,phanerophyte,,vine,South America,South America,Southern,Both,High,Major,Widespread/Common,natural,Commercial fruit crop; aromatic purple or yellow fruits; vigorous vine,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Passiflora_edulis_fruit.jpg/1024px-Passiflora_edulis_fruit.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
paulownia tomentosa,woolly paulownia,empress tree,paulownia,paulowniaceae,lamiales,dicots,paulownias,paulownia family,phanerophyte,,tree,China,East Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,Fast-growing; large heart-shaped leaves; fragrant purple flowers; can be invasive,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Paulownia_tomentosa_flowers.jpg/1024px-Paulownia_tomentosa_flowers.jpg
pelargonium myrrhifolium,myrrh-leaved pelargonium,myrrh-leaved geranium,pelargonium,geraniaceae,geraniales,dicots,geraniums,geranium family,chamaephyte,,shrub,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Aromatic foliage; small white flowers; popular in Mediterranean gardens,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Pelargonium_myrrhifolium_flowers.jpg/1024px-Pelargonium_myrrhifolium_flowers.jpg
pelargonium peltatum,shield-shaped pelargonium,ivy geranium,pelargonium,geraniaceae,geraniales,dicots,geraniums,geranium family,chamaephyte,,vine,South Africa,Africa,Southern,Both,High,Major,Widespread/Common,natural,Trailing habit; ivy-shaped leaves; popular for hanging baskets and window boxes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Pelargonium_peltatum_flowers.jpg/1024px-Pelargonium_peltatum_flowers.jpg
pelargonium x hybridum,hybrid pelargonium,zonal geranium,pelargonium,geraniaceae,geraniales,dicots,geraniums,geranium family,chamaephyte,,herb,South Africa,Africa,Southern,Cultivated,High,Major,Widespread/Common,bred,Most popular bedding geranium; numerous cultivars; rounded flower heads,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Pelargonium_zonale_flowers.jpg/1024px-Pelargonium_zonale_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
peltandra virginica,virginian peltandra,arrow arum,peltandra,araceae,alismatales,monocots,arrow arums,aroid family,hydrophyte,,herb,Eastern North America,North America,Northern,Wild,Low,None,Locally common,natural,Wetland plant; arrow-shaped leaves; grows in shallow water or wet soil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Peltandra_virginica_leaves.jpg/1024px-Peltandra_virginica_leaves.jpg
pennisetum setaceum,bristly fountain grass,fountain grass,pennisetum,poaceae,poales,monocots,fountain grasses,grass family,hemicryptophyte,,herb,Northeast Africa,Africa,Northern,Both,High,Major,Widespread/Common,natural,Popular ornamental grass; feathery plumes; can be highly invasive,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Pennisetum_setaceum_plumes.jpg/1024px-Pennisetum_setaceum_plumes.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
persea americana,american persea,avocado,persea,lauraceae,laurales,dicots,avocados,laurel family,phanerophyte,,tree,Central America,Americas,Northern,Both,High,Major,Widespread/Common,natural,Major food crop; high nutritional value; diverse cultivars; requires frost-free climate,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Persea_americana_fruits.jpg/1024px-Persea_americana_fruits.jpg
persea americana,american persea,avocado,persea,lauraceae,laurales,dicots,avocados,laurel family,phanerophyte,,tree,Central America,Americas,Northern,Both,High,Major,Widespread/Common,natural,Major food crop; high nutritional value; diverse cultivars; requires frost-free climate,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Persea_americana_fruits.jpg/1024px-Persea_americana_fruits.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
petrea volubilis,twining petrea,purple wreath,petrea,verbenaceae,lamiales,dicots,sandpaper vines,vervain family,phanerophyte,,vine,Central America,Americas,Northern,Both,High,Major,Locally common,natural,Spectacular purple flower cascades; sandpaper-textured leaves; vigorous climber,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Petrea_volubilis_flowers.jpg/1024px-Petrea_volubilis_flowers.jpg
petunia x atkinsiana,Atkins' petunia,garden petunia,petunia,solanaceae,solanales,dicots,petunias,nightshade family,therophyte,,herb,South America,South America,Southern,Cultivated,High,Major,Widespread/Common,bred,Popular bedding plant; trumpet-shaped flowers; wide color range; heat-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Petunia_x_atkinsiana_flowers.jpg/1024px-Petunia_x_atkinsiana_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
phellodendron amurense,amur cork tree,amur cork tree,phellodendron,rutaceae,sapindales,dicots,cork trees,citrus family,phanerophyte,,tree,Northeast Asia,Asia,Northern,Both,Moderate,Limited,Locally common,natural,Distinctive corky bark; compound leaves; orange fall color; dioecious,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Phellodendron_amurense_bark.jpg/1024px-Phellodendron_amurense_bark.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
phleum pratense,meadow timothy,timothy grass,phleum,poaceae,poales,monocots,timothy grasses,grass family,hemicryptophyte,,herb,Europe,Europe,Northern,Both,High,Major,Widespread/Common,natural,Important hay and pasture grass; cylindrical flower heads; cold-hardy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Phleum_pratense_inflorescence.jpg/1024px-Phleum_pratense_inflorescence.jpg
phlomis fruticosa,shrubby phlomis,jerusalem sage,phlomis,lamiaceae,lamiales,dicots,jerusalem sages,mint family,chamaephyte,,shrub,Mediterranean,Mediterranean,Northern,Both,Moderate,Limited,Locally common,natural,Woolly grey-green leaves; bright yellow flowers; drought-tolerant; aromatic,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Phlomis_fruticosa_flowers.jpg/1024px-Phlomis_fruticosa_flowers.jpg
phlox paniculata,panicled phlox,garden phlox,phlox,polanoniaceae,ericales,dicots,phloxes,phlox family,hemicryptophyte,,herb,Eastern North America,North America,Northern,Both,High,Major,Widespread/Common,natural,Tall perennial with fragrant flower clusters; many cultivars; attracts butterflies,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Phlox_paniculata_flowers.jpg/1024px-Phlox_paniculata_flowers.jpg
pheonix dactylifera,date-bearing phoenix,date palm,phoenix,arecaceae,arecales,monocots,date palms,palm family,phanerophyte,,tree,Middle East,Asia,Northern,Both,Moderate,Major,Widespread/Common,natural,Ancient crop; sweet edible dates; dioecious; requires hot dry climate,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Phoenix_dactylifera_fruits.jpg/1024px-Phoenix_dactylifera_fruits.jpg
photinia x fraseri,Fraser's photinia,red tip photinia,photinia,rosaceae,rosales,dicots,photinias,rose family,phanerophyte,,shrub,Garden origin,Garden hybrid,Both,Cultivated,High,Major,Widespread/Common,bred,Popular hedge plant; bright red new growth; white spring flowers; evergreen,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Photinia_x_fraseri_new_growth.jpg/1024px-Photinia_x_fraseri_new_growth.jpg
phragmites australis,southern reed,common reed,phragmites,poaceae,poales,monocots,reeds,grass family,hydrophyte,,herb,Worldwide,Global,Both,Wild,Low,Limited,Widespread/Common,natural,Tall wetland grass; forms dense colonies; important for wildlife; can be invasive,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Phragmites_australis_stand.jpg/1024px-Phragmites_australis_stand.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
picea abies,fir-like spruce,norway spruce,picea,pinaceae,pinales,conifers,spruces,pine family,phanerophyte,,tree,Northern Europe,Europe,Northern,Both,Moderate,Major,Widespread/Common,natural,Important timber species; traditional Christmas tree; drooping branchlets,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Picea_abies_tree.jpg/1024px-Picea_abies_tree.jpg
picea glauca,grey-white spruce,white spruce,picea,pinaceae,pinales,conifers,spruces,pine family,phanerophyte,,tree,Northern North America,North America,Northern,Wild,Moderate,Major,Widespread/Common,natural,Important pulpwood species; blue-green needles; cold-hardy; narrow crown,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Picea_glauca_tree.jpg/1024px-Picea_glauca_tree.jpg
picea orientales,oriental spruce,caucasian spruce,picea,pinaceae,pinales,conifers,spruces,pine family,phanerophyte,,tree,Caucasus region,Europe,Northern,Both,Moderate,Limited,Locally common,natural,Shortest needles of any spruce; dense pyramidal form; glossy dark green,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Picea_orientalis_tree.jpg/1024px-Picea_orientalis_tree.jpg
picea pungens,sharp-pointed spruce,colorado spruce,picea,pinaceae,pinales,conifers,spruces,pine family,phanerophyte,,tree,Western North America,North America,Northern,Both,High,Major,Locally common,natural,Blue-silver needles; extremely hardy; popular ornamental; rigid branching,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Picea_pungens_glauca.jpg/1024px-Picea_pungens_glauca.jpg
picea sitchensis,sitka spruce,sitka spruce,picea,pinaceae,pinales,conifers,spruces,pine family,phanerophyte,,tree,Pacific Northwest,North America,Northern,Wild,Low,Major,Widespread/Common,natural,Largest spruce species; important timber; tolerates salt spray; fast-growing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Picea_sitchensis_tree.jpg/1024px-Picea_sitchensis_tree.jpg
picea sitchensis,sitka spruce,sitka spruce,picea,pinaceae,pinales,conifers,spruces,pine family,phanerophyte,,tree,Pacific Northwest,North America,Northern,Wild,Low,Major,Widespread/Common,natural,Largest spruce species; important timber; tolerates salt spray; fast-growing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Picea_sitchensis_tree.jpg/1024px-Picea_sitchensis_tree.jpg
picea smithiana,Smith's spruce,morinda spruce,picea,pinaceae,pinales,conifers,spruces,pine family,phanerophyte,,tree,Western Himalayas,Asia,Northern,Both,Moderate,Limited,Locally common,natural,Graceful weeping branches; long needles; distinctive pendulous habit,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Picea_smithiana_tree.jpg/1024px-Picea_smithiana_tree.jpg
pilosella aurantiaca,orange pilosella,orange hawkweed,pilosella,asteraceae,asterales,dicots,hawkweeds,aster family,hemicryptophyte,,herb,Europe,Europe,Northern,Both,Low,None,Widespread/Common,natural,Bright orange flowers; spreads by stolons; can be weedy; also called devil's paintbrush,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Pilosella_aurantiaca_flowers.jpg/1024px-Pilosella_aurantiaca_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
pinus banksiana,Banks' pine,jack pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Northern North America,North America,Northern,Wild,Low,Major,Widespread/Common,natural,Fire-adapted; serotinous cones; important pulpwood; grows in poor soils,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Pinus_banksiana_tree.jpg/1024px-Pinus_banksiana_tree.jpg
pinus halepensis,aleppo pine,aleppo pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Mediterranean,Mediterranean,Northern,Both,Moderate,Major,Widespread/Common,natural,Drought-tolerant; resinous; important for reforestation in arid regions,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Pinus_halepensis_tree.jpg/1024px-Pinus_halepensis_tree.jpg
pinus heldreichii,Heldreich's pine,bosnian pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Southeastern Europe,Europe,Northern,Wild,Low,Limited,Locally common,natural,Extremely long-lived; dense dark green needles; limestone specialist,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Pinus_heldreichii_tree.jpg/1024px-Pinus_heldreichii_tree.jpg
pinus mugo,dwarf pine,mountain pine,pinus,pinaceae,pinales,conifers,pines,pine family,chamaephyte,,shrub,Central Europe,Europe,Northern,Both,High,Major,Widespread/Common,natural,Shrubby growth form; extremely hardy; popular landscape plant; many cultivars,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Pinus_mugo_shrub.jpg/1024px-Pinus_mugo_shrub.jpg
pinus nigra,black pine,european black pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Southern Europe,Europe,Northern,Both,Moderate,Major,Widespread/Common,natural,Dark furrowed bark; tolerates urban conditions; important forestry species,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Pinus_nigra_tree.jpg/1024px-Pinus_nigra_tree.jpg
pinus patula,spreading pine,mexican weeping pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Mexico,North America,Northern,Both,Moderate,Major,Locally common,natural,Graceful drooping needles; fast-growing; important plantation species,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Pinus_patula_needles.jpg/1024px-Pinus_patula_needles.jpg
pinus resinosa,resinous pine,red pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Northeastern North America,North America,Northern,Wild,Low,Major,Widespread/Common,natural,Distinctive reddish bark; long needles in pairs; important timber species,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Pinus_resinosa_bark.jpg/1024px-Pinus_resinosa_bark.jpg
pinus roxburghii,Roxburgh's pine,chir pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Western Himalayas,Asia,Northern,Wild,Low,Major,Locally common,natural,Long needles; important timber in India; resin production; subtropical pine,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Pinus_roxburghii_tree.jpg/1024px-Pinus_roxburghii_tree.jpg
pinus strobus,narrow pine,eastern white pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Eastern North America,North America,Northern,Wild,Moderate,Major,Widespread/Common,natural,State tree of Maine and Michigan; historically crucial for ship masts; soft 5-needle clusters,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Pinus_strobus_tree.jpg/1024px-Pinus_strobus_tree.jpg
pinus sylvestris,forest pine,scots pine,pinus,pinaceae,pinales,conifers,pines,pine family,phanerophyte,,tree,Northern Eurasia,Eurasia,Northern,Both,Moderate,Major,Widespread/Common,natural,Distinctive orange-red bark on upper trunk; widely planted; very hardy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Pinus_sylvestris_bark.jpg/1024px-Pinus_sylvestris_bark.jpg
piper excelsum,excellent pepper,kawakawa,piper,piperaceae,piperales,dicots,peppers,pepper family,phanerophyte,,shrub,New Zealand,New Zealand,Southern,Wild,Low,None,Locally common,natural,Endemic to New Zealand; heart-shaped leaves; culturally significant to Māori,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Piper_excelsum_leaves.jpg/1024px-Piper_excelsum_leaves.jpg
piper nigrum,black pepper,black pepper,piper,piperaceae,piperales,dicots,peppers,pepper family,phanerophyte,,vine,Southern India,Asia,Northern,Both,High,Major,Widespread/Common,natural,Source of black peppercorns; climbing vine; major spice trade plant,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Piper_nigrum_peppercorns.jpg/1024px-Piper_nigrum_peppercorns.jpg
pistacia chinensis,chinese pistachio,chinese pistache,pistacia,anacardiaceae,sapindales,dicots,pistachios,cashew family,phanerophyte,,tree,China,East Asia,Northern,Both,High,Major,Locally common,natural,Spectacular orange-red fall color; drought-tolerant; popular street tree,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Pistacia_chinensis_fall_color.jpg/1024px-Pistacia_chinensis_fall_color.jpg
pistacia terebinthus,turpentine pistachio,turpentine tree,pistacia,anacardiaceae,sapindales,dicots,pistachios,cashew family,phanerophyte,,tree,Mediterranean,Mediterranean,Northern,Wild,Low,None,Locally common,natural,Source of turpentine; aromatic resin; small red berries,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Pistacia_terebinthus_tree.jpg/1024px-Pistacia_terebinthus_tree.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
pisum sativum,cultivated pea,garden pea,pisum,fabaceae,fabales,dicots,peas,legume family,therophyte,,vine,Mediterranean,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,bred,Important food crop; nitrogen-fixing; climbing tendrils,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Pisum_sativum_pods.jpg/1024px-Pisum_sativum_pods.jpg
pithecellobium dulce,sweet rain tree,manila tamarind,pithecellobium,fabaceae,fabales,dicots,rain trees,legume family,phanerophyte,,tree,Central America,Americas,Northern,Both,Moderate,Limited,Widespread/Common,natural,Edible sweet pods; thorny branches; nitrogen-fixing; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Pithecellobium_dulce_pods.jpg/1024px-Pithecellobium_dulce_pods.jpg
pittosporum crassifolium,thick-leaved pittosporum,karo,pittosporum,pittosporaceae,apiales,dicots,pittosporums,pittosporum family,phanerophyte,,shrub,New Zealand,New Zealand,Southern,Both,Moderate,Limited,Locally common,natural,Coastal shrub; salt-tolerant; dark red flowers; thick leathery leaves,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Pittosporum_crassifolium_flowers.jpg/1024px-Pittosporum_crassifolium_flowers.jpg
pittosporum fairchildii,Fairchild's pittosporum,fairchild pittosporum,pittosporum,pittosporaceae,apiales,dicots,pittosporums,pittosporum family,phanerophyte,,shrub,Garden origin,Garden hybrid,Both,Cultivated,High,Limited,Rare,bred,Hybrid cultivar; compact growth; fragrant flowers,
pittosporum tenuifolium,thin-leaved pittosporum,kohuhu,pittosporum,pittosporaceae,apiales,dicots,pittosporums,pittosporum family,phanerophyte,,tree,New Zealand,New Zealand,Southern,Both,High,Major,Locally common,natural,Popular ornamental; small wavy-edged leaves; fragrant honey-scented flowers,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Pittosporum_tenuifolium_foliage.jpg/1024px-Pittosporum_tenuifolium_foliage.jpg
pittosporum tobira,tobira pittosporum,japanese pittosporum,pittosporum,pittosporaceae,apiales,dicots,pittosporums,pittosporum family,phanerophyte,,shrub,East Asia,Asia,Northern,Both,High,Major,Widespread/Common,natural,Glossy evergreen leaves; fragrant white flowers; orange berries; salt-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Pittosporum_tobira_flowers.jpg/1024px-Pittosporum_tobira_flowers.jpg
plantago major,greater plantain,broadleaf plantain,plantago,plantaginaceae,lamiales,dicots,plantains,plantain family,hemicryptophyte,,herb,Europe,Europe,Northern,Both,Low,None,Widespread/Common,natural,Common weed; medicinal uses; parallel-veined leaves; edible young leaves,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Plantago_major_leaves.jpg/1024px-Plantago_major_leaves.jpg
platanus occidentalis,western plane tree,american sycamore,platanus,platanaceae,proteales,dicots,plane trees,sycamore family,phanerophyte,,tree,Eastern North America,North America,Northern,Wild,Moderate,Major,Widespread/Common,natural,Distinctive mottled exfoliating bark; large palmate leaves; ball-shaped fruits,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Platanus_occidentalis_bark.jpg/1024px-Platanus_occidentalis_bark.jpg
platanus orientalis,eastern plane tree,oriental plane,platanus,platanaceae,proteales,dicots,plane trees,sycamore family,phanerophyte,,tree,Southeastern Europe,Europe,Northern,Both,Moderate,Major,Widespread/Common,natural,Ancient tree; deeply lobed leaves; multiple seed balls; long-lived,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Platanus_orientalis_tree.jpg/1024px-Platanus_orientalis_tree.jpg
platanus x hispanica,spanish plane tree,london plane,platanus,platanaceae,proteales,dicots,plane trees,sycamore family,phanerophyte,,tree,Garden origin,Garden hybrid,Both,Cultivated,High,Major,Widespread/Common,bred,Popular urban street tree; hybrid of P. occidentalis × P. orientalis; pollution-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Platanus_x_hispanica_bark.jpg/1024px-Platanus_x_hispanica_bark.jpg
platycerium bifurcatum,fork-shaped staghorn fern,staghorn fern,platycerium,polypodiaceae,polypodiales,ferns,staghorn ferns,polypody fern family,epiphyte,,herb,Eastern Australia,Australia,Southern,Both,High,Major,Locally common,natural,Distinctive antler-shaped fronds; epiphytic; popular houseplant,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Platycerium_bifurcatum_fronds.jpg/1024px-Platycerium_bifurcatum_fronds.jpg
platycladus orientalis,oriental flat-branch,oriental arborvitae,platycladus,cupressaceae,pinales,conifers,oriental arborvitae,cypress family,phanerophyte,,tree,Northern China,East Asia,Northern,Both,High,Major,Widespread/Common,natural,Flattened branchlets; egg-shaped cones; important in Chinese gardens,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Platycladus_orientalis_tree.jpg/1024px-Platycladus_orientalis_tree.jpg
plectranthus ciliatus,hairy plectranthus,spur flower,plectranthus,lamiaceae,lamiales,dicots,spurflowers,mint family,chamaephyte,,herb,Southern Africa,Africa,Southern,Both,High,Limited,Locally common,natural,Succulent leaves; blue flowers; aromatic foliage; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Plectranthus_ciliatus_flowers.jpg/1024px-Plectranthus_ciliatus_flowers.jpg
plectranthus neochilus,new-lipped plectranthus,lobster bush,plectranthus,lamiaceae,lamiales,dicots,spurflowers,mint family,chamaephyte,,shrub,Southern Africa,Africa,Southern,Both,High,Limited,Locally common,natural,Strong fragrance; purple flowers; succulent stems; popular ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Plectranthus_neochilus_flowers.jpg/1024px-Plectranthus_neochilus_flowers.jpg
plectranthus scutellaroides,shield-shaped plectranthus,coleus,plectranthus,lamiaceae,lamiales,dicots,spurflowers,mint family,chamaephyte,,herb,Southeast Asia,Asia,Northern,Both,High,Major,Widespread/Common,natural,Colorful foliage plant; numerous cultivars; heat-tolerant annual,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Plectranthus_scutellaroides_leaves.jpg/1024px-Plectranthus_scutellaroides_leaves.jpg
plumbago auriculata,eared plumbago,blue plumbago,plumbago,plumbaginaceae,caryophyllales,dicots,leadworts,leadwort family,phanerophyte,,shrub,South Africa,Africa,Southern,Both,High,Major,Widespread/Common,natural,Sky-blue flowers; long blooming season; heat and drought tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Plumbago_auriculata_flowers.jpg/1024px-Plumbago_auriculata_flowers.jpg
plumeria obtusa,blunt plumeria,singapore plumeria,plumeria,apocynaceae,gentianales,dicots,frangipanis,dogbane family,phanerophyte,,tree,Central America,Americas,Northern,Both,High,Major,Locally common,natural,Fragrant white flowers; rounded leaves; popular tropical ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Plumeria_obtusa_flowers.jpg/1024px-Plumeria_obtusa_flowers.jpg
plumeria rubra,red plumeria,common frangipani,plumeria,apocynaceae,gentianales,dicots,frangipanis,dogbane family,phanerophyte,,tree,Central America,Americas,Northern,Both,High,Major,Widespread/Common,natural,Extremely fragrant flowers; used in Hawaiian leis; various colors,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Plumeria_rubra_flowers.jpg/1024px-Plumeria_rubra_flowers.jpg
poa bulbosa,bulbous bluegrass,bulbous meadow-grass,poa,poaceae,poales,monocots,bluegrasses,grass family,geophyte,,herb,Mediterranean,Mediterranean,Northern,Both,Low,None,Widespread/Common,natural,Forms small bulbils; drought-tolerant; cool-season grass,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Poa_bulbosa_inflorescence.jpg/1024px-Poa_bulbosa_inflorescence.jpg
podocarpus macrophyllus,large-leaved podocarp,yew plum pine,podocarpus,podocarpaceae,pinales,conifers,podocarps,yellowwood family,phanerophyte,,tree,China and Japan,East Asia,Northern,Both,High,Major,Locally common,natural,Yew-like foliage; red berries; popular ornamental conifer,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Podocarpus_macrophyllus_foliage.jpg/1024px-Podocarpus_macrophyllus_foliage.jpg
podocarpus matudae,Matuda's podocarp,matuda yew,podocarpus,podocarpaceae,pinales,conifers,podocarps,yellowwood family,phanerophyte,,tree,Central America,Americas,Northern,Wild,Low,None,Rare,natural,Endemic to Guatemala and southern Mexico; threatened habitat,
podranea ricasoliana,Ricasoli's podranea,pink trumpet vine,podranea,bignoniaceae,lamiales,dicots,trumpet vines,trumpet vine family,phanerophyte,,vine,Southern Africa,Africa,Southern,Both,High,Major,Locally common,natural,Pink trumpet-shaped flowers; vigorous climber; drought-tolerant when established,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Podranea_ricasoliana_flowers.jpg/1024px-Podranea_ricasoliana_flowers.jpg
