SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
lemmaphyllum microphyllum,,green penny fern,lemmaphyllum,polypodiacea,polypodiales,ferns,,,,jakarta,herb,Asia,Wild,Low,None,Widespread/Common
leonurus cardiaca,,common motherwort,leonorus,lamiaceae,lamiales,dicots,,,,greenwich,herb,Europe,Wild,Low,None,Widespread/Common
,,,leontopodium,asteraceae,asterales,dicots,edelweiss,,,NA,herb,Mountains of Europe,Wild,Moderate,Limited,Locally common
,,,leptospermum,myrtaceae,myrtales,dicots,manuka,,,NA,shrub,Australia,Both,Moderate,Limited,Widespread/Common
leucadendron argenteum,,cape silver tree,leucadendron,proteaceae,proteales,dicots,,,tree,Kew,tree,Africa,Cultivated,Moderate,Limited,Rare
,,,leucaena,fabaceae,fabales,dicots,leadtrees,,,NA,tree,Central America,Both,Low,Limited,Widespread/Common
,,,leucojum,amaryllidaceae,asparagales,monocots,snowflakes,,,NA,herb,Europe,Both,Moderate,Limited,Widespread/Common
leucophyllum frutescens,,cenizo,leucophyllum,scrophulariaceae,lamiales,dicots,,,,Expo,shrub,North America,Both,Low,None,Widespread/Common
leucospermum conocarpodendron,,grey tree-pincushion,leucospermum,proteaceae,proteales,dicots,,,,kew,shrub,Africa,Cultivated,Moderate,Limited,Locally common
leymus mollis,,american dune grass,leymus,poaceae,poales,monocots,,,,sooke,herb,North America,Wild,Low,None,Widespread/Common
liatris pycnostachya,,prairie blazing star,liatris,asteraceae,asterales,dicots,,,,new york,herb,North America,Both,Moderate,Limited,Widespread/Common
libertia ixioides,,mikoikoi,libertia,iridaceae,asparagales,monocots,,,,Kew,herb,New Zealand,Both,Low,None,Locally common
ligustrum lucidum,,tree privet,ligustrum,oleaceae,lamiales,dicots,privets,olive,,Amman garden,tree,Asia,Both,Low,Limited,Widespread/Common
lilium bulbiferum,,fire lily,lilium,liliaceae,liliales,monocots,lilies,lilies,,Flower bouquet,herb,Europe,Both,High,Limited,Widespread/Common
lilium lancifolioum,,tiger lily,lilium,liliaceae,liliales,monocots,lilies,lilies,,Flower bouquet,herb,Asia,Both,High,Limited,Widespread/Common
lilium martagon,,martagon lily,lilium,liliaceae,liliales,monocots,,,,sooke,herb,Europe,Both,Moderate,Limited,Widespread/Common
linaria purpurea,,,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,,knighton,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
linaria vulgaris,,common toadflax,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,,charlevoix,herb,Europe,Wild,Low,None,Widespread/Common
linum usitatissimum,,flax/linseed,linum,linaceae,malpighiales,dicots,,flaxes,,Fifty plants,herb,Mediterranean,Cultivated,Moderate,Major,Widespread/Common
Liquidambar formosana,,Chinese sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,,,,Kew,tree,Asia,Both,Moderate,Limited,Widespread/Common
Liquidambar styraciflua,,American sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,,,,Kew,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
liriodendron tulipifera,,tulip tree,liriodendron,magnoliaceae,magnoliales,early angiosperms,,,tree,kew,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
,,,lobelia,campanulaceae,asterales,dicots,lobelias,,,NA,herb,Worldwide,Both,High,Limited,Widespread/Common
lobularia maritima,,sweet alyssym,lobularia,brassicaceae,brassicales,dicots,,,,around amman,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
,,,lodoicea,arecaceae,arecales,monocots,double coconut,,,NA,tree,Seychelles,Wild,Low,None,Very rare/Endangered
lonicera implexa,,mediterranean honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,,amman,vine,Mediterranean,Wild,Low,None,Widespread/Common
lonicera japonica,,japanese honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,,Amman garden,vine,Asia,Both,Low,None,Widespread/Common
lonicera morrowii,,morrow's honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,honeysuckles,,,greenwich,shrub,Asia,Both,Low,None,Widespread/Common
lonicera periclymenum,,common honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,,,knighton,vine,Europe,Wild,Low,None,Widespread/Common
ludwigia palustris,,water purslane,ludwigia,onagraceae,myrtales,dicots,,,,greenwich,herb,North America,Wild,Low,None,Widespread/Common
,,,ludwigia,onagraceae,myrtales,dicots,water purslane,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
luffa cylindrica,,sponge gourd,luffa,cucurbitaceae,cucurbitales,dicots,,,,luang prabang,herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
,,,luffa,cucurbitaceae,cucurbitales,dicots,loofahs,,,NA,herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
lunaria annua,,honesty,lunaria,brassicaceae,brassicales,dicots,,,,knighton,herb,Europe,Both,Moderate,Limited,Widespread/Common
,,,luzula,juncaceae,poales,monocots,woodrush,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
lycoris radiata,,red spider lily,lycoris,amaryllidaceae,asparagales,monocots,,,,perth,herb,Asia,Cultivated,High,Limited,Widespread/Common
lysimachia clethroides,,gooseneck loosestrife,lysimachia,primulaceae,ericales,dicots,,,,greenwich,herb,Asia,Both,Moderate,Limited,Widespread/Common
lysimachia punctata,,dotted loosestrife,lysimachia,primulaceae,ericales,dicots,,,,knighton,herb,Europe,Both,Moderate,Limited,Widespread/Common
,,,lysimachia,primulaceae,ericales,dicots,loosestrife,,,NA,herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
maackia chinensis,,chinese maackia,maackia,fabaceae,fabales,dicots,,,,kew,tree,Asia,Both,Low,None,Widespread/Common
magnolia grandiflora,,southern magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,magnolias,magnolia,tree,Office,tree,Eastern North America,Both,High,Limited,Widespread/Common
magnolia macrophylla,,bigleaf magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,,,tree,new york,tree,Eastern North America,Both,Moderate,Limited,Locally common
maleleuca viminalis,,weeping bottlebrush,maleleuca,myrtaceae,myrtales,dicots,tea trees,myrtles,tree,Amman garden,tree,Australia,Both,High,Limited,Widespread/Common
mallotus paniculatus,,turn-in-the-wind,mallotus,euphorbiaceae,malpighiales,dicots,,spurges,,Expo,tree,Asia,Wild,Low,None,Widespread/Common
,,,malus,rosaceae,rosales,dicots,apple,,,NA,tree,Asia,Cultivated,High,Major,Widespread/Common
malva moschata,,musk mallow,malva,malvaceae,malvales,dicots,mallows,,,charlevoix,herb,Europe,Wild,Low,None,Widespread/Common
malva parviflora,,cheeseweed mallow,malva,malvaceae,malvales,dicots,,mallows,,amman,herb,Mediterranean,Wild,Low,None,Widespread/Common
malva sylvestris,,common mallow,malva,malvaceae,malvales,dicots,,,,london,herb,Europe,Wild,Low,None,Widespread/Common
mangifera indica,,indian mango,mangifera,anacardiaceae,sapindales,dicots,mangoes,cashews and sumac,tree,yarmouk river,tree,India,Cultivated,High,Major,Widespread/Common
manihot esculenta,,cassava,manihot,euphorbiaceae,malpighiales,dicots,,,,jakarta,herb,South America,Cultivated,Moderate,Major,Widespread/Common
,,,manihot,euphorbiaceae,malpighiales,dicots,,,,NA,herb,South America,Both,Moderate,Limited,Widespread/Common
mastocarpus papillatus,,grapestone,mastocarpus,phyllophoraceae,gigartinales,algae,red algae,,,nanaimo,herb,North Pacific,Wild,Low,None,Widespread/Common
matthiola incana,,hoary stock,matthiola,brassicaceae,brassicales,dicots,,mustard and cabbage,,Scandinavian forest,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
medicago sativa,,alfalfa,medicago,fabaceae,fabales,dicots,,,,azraq,herb,Mediterranean,Cultivated,Moderate,Major,Widespread/Common
melia azedarach,,chinaberry,melia,meliaceae,sapindales,dicots,,mahogany and chinaberry,,Amman garden,tree,Asia,Both,Low,None,Widespread/Common
melicope ternata,,wharangi,melicope,rutaceae,sapindales,dicots,,,,Kew,tree,New Zealand,Wild,Low,None,Locally common
mentha aquatica,,water mint,mentha,lamiaceae,lamiales,dicots,mints,,,greenwich,herb,Europe,Wild,Low,None,Widespread/Common
mentha longifolia,,horse mint,mentha,lamiaceae,lamiales,dicots,,mints,,rum desert,herb,Europe,Wild,Low,None,Widespread/Common
mentha spicata,,spearmint,mentha,lamiaceae,lamiales,dicots,mints,mints,,Amman garden,herb,Europe,Cultivated,Moderate,Limited,Widespread/Common
,,,mertensia,boraginaceae,boraginales,dicots,bluebells,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
mesembryanthemum cordifolum,,heart-leaf ice plant,mesembryanthemum,aizoaceae,caryophyllales,dicots,ice plants,fig-marigolds,,Amman garden,herb,Africa,Cultivated,High,Limited,Widespread/Common
metasequoia glyptostroboides,,dawn redwood,metasequoia,cupressaceae,cupressales,conifers,,,tree,sooke,tree,China,Both,Moderate,Limited,Rare
mirabilis jalapa,,marvel of peru,mirabilis,nyctaginaceae,caryophyllales,dicots,four o'clocks,,,around amman,herb,Central America,Cultivated,High,Limited,Widespread/Common
,,,miscanthus,poaceae,poales,monocots,silvergrass,,,NA,herb,Asia,Both,Moderate,Limited,Widespread/Common
,,,molinia,poaceae,poales,monocots,moor grass,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
monarda didyma,,scarlet beebalm,monarda,lamiaceae,lamiales,dicots,beebalms and bergamots,,,greenwich,herb,Eastern North America,Both,High,Limited,Widespread/Common
monarda fistulosa,,wild bergamot,monarda,lamiaceae,lamiales,dicots,,,,greenwich,herb,North America,Wild,Low,None,Widespread/Common
monarda punctata,,horsemint,monarda,lamiaceae,lamiales,dicots,,,,new york,herb,North America,Wild,Low,None,Widespread/Common
,,,monsonia,geraniaceae,geraniales,dicots,,,,NA,herb,Africa,Wild,Low,None,Widespread/Common
monstera deliciosa,,swiss cheese plant,monstera,araceae,alismatales,monocots,,arums,,Office,vine,Central America,Cultivated,High,Limited,Widespread/Common
,,,moraea,iridaceae,asparagales,monocots,cape tulips,,,NA,herb,Africa,Both,Moderate,Limited,Widespread/Common
,,,morina,caprifoliaceae,dipsacales,dicots,whorlflower,,,NA,herb,Asia,Wild,Low,None,Locally common
morus alba,,white mulberry,morus,moraceae,rosales,dicots,mulberries,,,around amman,tree,Asia,Both,Low,Limited,Widespread/Common
,,,muhlenbergia,poaceae,poales,monocots,muhly grass,,,NA,herb,Americas,Both,Moderate,Limited,Widespread/Common
musa acuminata,,cavendish banana,musa,musaceae,zingiberales,monocots,bananas,,,Expo,herb,Southeast Asia,Cultivated,High,Major,Widespread/Common
musa ornata,,flowering banana,musa,musaceae,zingiberales,monocots,bananas,,,singapore,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
musa velutina,,,musa,musaceae,zingiberales,monocots,bananas,,,luang prabang,herb,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
musa x paradisiaca,,plantain,musa,musaceae,zingiberales,monocots,bananas,bananas,,yarmouk river,herb,Southeast Asia,Cultivated,High,Major,Widespread/Common
muscari neglectum,,grape hyacinth,muscari,asparagaceae,asparagales,monocots,,asparagus,,Scandinavian forest,herb,Mediterranean,Both,High,Limited,Widespread/Common
myoporum insulare,,australian ngaio,myoporum,scrophulariaceae,lamiales,dicots,,,,Amman garden,shrub,Australia,Both,Moderate,Limited,Widespread/Common
myoporum laetum,,ngaio,myoporum,scrophulariaceae,lamiales,dicots,,,,around amman,shrub,New Zealand,Both,Moderate,Limited,Widespread/Common
,,,myosotis,boraginaceae,boraginales,dicots,forget-me-not,,,NA,herb,Europe,Both,High,Limited,Widespread/Common
myristica fragrans,,nutmeg,myristica,myristicaceae,magnoliales,early angiosperms,,,,Fifty plants,tree,Southeast Asia,Cultivated,Moderate,Major,Widespread/Common
myrtus communis,,myrtle,myrtus,myrtaceae,myrtales,dicots,,,tree,NA,shrub,Mediterranean,Both,Moderate,Limited,Widespread/Common
nandina domestica,,heavenly bamboo,nandina,berberidaceae,ranunculales,dicots,,barberry,,Office,shrub,Asia,Cultivated,High,Limited,Widespread/Common
,,,narcissus,amaryllidaceae,asparagales,monocots,daffodils,,,NA,herb,Europe,Cultivated,High,Limited,Widespread/Common
,,,nassella,poaceae,poales,monocots,needlegrass,,,NA,herb,South America,Both,Low,None,Widespread/Common
nelumbo lutea,,,nelumbo,nelumbonaceae,proteales,dicots,,,,lombok,herb,North America,Wild,Low,None,Locally common
nelumbo nucifera,,sacred lotus,nelumbo,nelumbonaceae,proteales,dicots,,,,yogyakarta,herb,Asia,Both,Moderate,Limited,Widespread/Common
,,,nelumbo,nelumbonaceae,proteales,dicots,sacred lotus,,,NA,herb,Asia,Both,Moderate,Limited,Widespread/Common
,,,nepeta,lamiaceae,lamiales,dicots,catmint,,,NA,herb,Europe,Both,High,Limited,Widespread/Common
nephelium lappaceum,,rambutan,nephelium,sapindaceae,sapindales,dicots,,,,yogyakarta,tree,Southeast Asia,Cultivated,Moderate,Limited,Widespread/Common
nereocystis luetkeana,,bull kelp,nereocystis,laminariaceae,laminariales,algae,,,,sooke,herb,North Pacific,Wild,Low,None,Widespread/Common
nerium oleander,,oleander,nerium,apocynaceae,gentianales,dicots,,dog-banes,,Amman garden,shrub,Mediterranean,Cultivated,High,Limited,Widespread/Common
nesiota elliptica,,st helena olive,nesiota,rhamnaceae,rosales,dicots,,,,kew,shrub,St Helena,Wild,Low,None,Very rare/Endangered
,,,nicandra,solanaceae,solanales,dicots,,,,NA,herb,South America,Wild,Low,None,Widespread/Common
nicotiana tabacum,,tobacco,nicotiana,solanaceae,solanales,dicots,,nightshades,,Fifty plants,herb,South America,Cultivated,High,Major,Widespread/Common
nigella damascena,,love-in-a-mist,nigella,ranunculaceae,ranunculales,dicots,,,,kintbury,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
,,,nigella,ranunculaceae,ranunculales,dicots,love-in-a-mist,,,NA,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
,,,nuphar,nymphaeaceae,nymphaeales,early angiosperms,spatterdocks,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
nolina parviflora,,,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,,singapore,herb,North America,Wild,Low,None,Widespread/Common
nymphaea alba,,white waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
nymphaea ampla,,dotleaf waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,,lombok,herb,Central America,Wild,Low,None,Widespread/Common
nymphaea mexicana,,yellow waterlily,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,,gloucester,herb,North America,Wild,Low,None,Widespread/Common
nymphaea nouchali,,blue lotus,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,hydrophyte,yogyakarta,herb,Asia,Both,Moderate,Limited,Widespread/Common
nymphaea rubra,,,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,,,,bandung,herb,Asia,Wild,Low,None,Widespread/Common
,,,nymphaea,nymphaeaceae,nymphaeales,early angiosperms,waterlily,,,NA,herb,Worldwide,Both,Moderate,Limited,Widespread/Common
nyssa sylvatica,,tupelo,nyssa,nyssaceae,cornales,dicots,tupelos,,tree,kew,tree,Eastern North America,Both,Low,Limited,Widespread/Common
ochna serrulata,,small-leaved plane,ochna,ochnacea,malpighiales,dicots,,,,yogyakarta,shrub,Africa,Cultivated,Moderate,Limited,Widespread/Common
ocimum basilicum,,sweet basil,ocimum,lamiaceae,lamiales,dicots,basils,mints,,Expo,herb,Asia,Cultivated,High,Limited,Widespread/Common
oclemena acuminata,,whorled wood aster,oclomena,asteraceae,asterales,dicots,,,,greenwich,herb,Eastern North America,Wild,Low,None,Widespread/Common
,,,oenothera,onagraceae,myrtales,dicots,evening primrose,,,NA,herb,Americas,Both,Moderate,Limited,Widespread/Common
olea europea,,olive,olea,oleaceae,lamiales,dicots,olives,olive,chamaephyte,Kempinski,tree,Mediterranean,Cultivated,High,Major,Widespread/Common
oncidium sphacelatum,,kandyan dancer orchid,onchidium,orchidaceae,asparagales,monocots,,,,singapore,herb,Central America,Cultivated,High,Limited,Widespread/Common
onoclea sensibilis,,sensitive fern,onoclea,onocleaceae,polypodiales,ferns,onoclea,,,greenwich,herb,Eastern North America,Wild,Low,None,Widespread/Common
ononis natrix,,yellow restharrow,ononis,fabaceae,fabales,dicots,,legumes,,umm qais,herb,Mediterranean,Wild,Low,None,Widespread/Common
opuntia cochenillifera,,cochineal nopal cactus,opuntia,cactaceae,caryophyllales,dicots,prickly pears,cactus,,Amman garden,herb,Central America,Both,Moderate,Limited,Widespread/Common
opuntia ficus-indica,,cactus pear,opuntia,cactaceae,caryophyllales,dicots,prickly pears,cactus,,azraq,herb,Central America,Cultivated,Moderate,Limited,Widespread/Common
opuntia microdasys,,bunny ears cactus,opuntia,cactaceae,caryophyllales,dicots,prickly pears,,,NA,herb,North America,Cultivated,High,Limited,Widespread/Common
origanum vulgare,,oregano,origanum,lamiaceae,lamiales,dicots,,,,london,herb,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
,,,origanum,lamiaceae,lamiales,dicots,oregano,,,NA,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
ornithogalum umbellatum,,common star of bethlehem,ornithogalum,asparagaceae,asparagales,monocots,,asparagus,,Scandinavian forest,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
oryza sativa,,rice,oryza,poaceae,poales,monocots,,grasses,,Fifty plants,herb,Asia,Cultivated,High,Major,Widespread/Common
,,,ostrya,betulaceae,fagales,dicots,hop-hornbeam,,,NA,tree,Northern Hemisphere,Wild,Low,None,Widespread/Common
oxalis corniculata,,creeping woodsorrel,oxalis,oxalidaceae,oxalidales,dicots,,,,kintbury,herb,Worldwide,Wild,Low,None,Widespread/Common
oxalis pes-caprae,,bermuda buttercup,oxalis,oxalidaceae,oxalidales,dicots,,,,Turqoise mtn,herb,Africa,Both,Low,None,Widespread/Common
oxalis triangularis,,false shamrock,oxalis,oxalidaceae,oxalidales,dicots,,,,kintbury,herb,South America,Cultivated,High,Limited,Widespread/Common
pachira aquatica,,provision tree,pachira,malvaceae,malvales,dicots,pachira,,,montreal house,tree,Central America,Cultivated,High,Limited,Widespread/Common
pachycereus pringlei,,mexican giant cactus,pachycereus,cactaceae,caryophyllales,dicots,,,,NA,herb,North America,Wild,Low,None,Locally common
paeonia officinalis,,common peony,paeonia,paeoniaceae,saxifragales,dicots,peonies,,,greenwich,herb,Europe,Cultivated,High,Limited,Widespread/Common
,,,panax,araliaceae,apiales,dicots,ginseng,,,NA,herb,Asia,Both,Moderate,Major,Locally common
,,,panicum,poaceae,poales,monocots,panicgrass,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
papaver rhoeas,,scarlet poppy,papaver,papaveraceae,ranunculales,dicots,poppies,poppies,,Fifty plants,herb,Europe,Both,Moderate,Limited,Widespread/Common
papaver somniferum,,opium poppy,papaver,papaveraceae,ranunculales,dicots,poppies,poppies,,Fifty plants,herb,Mediterranean,Cultivated,Moderate,Major,Widespread/Common
,,,paris,melanthiaceae,liliales,monocots,,,,NA,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
parthenocissus inserta,,thicket creeper,parthenocissus,vitaceae,vitales,dicots,virgin creepers,,,greenwich,vine,North America,Wild,Low,None,Widespread/Common
parthenocissus tricuspidata,,japanese creeper,Parthenocissus,vitaceae,vitales,dicots,,,,Bermondsey,vine,Asia,Both,Moderate,Limited,Widespread/Common
parthernocissus quinquefolia,,virginia creeper,parthenocissus,vitaceae,vitales,dicots,,grapevines,,amman,vine,Eastern North America,Both,Moderate,Limited,Widespread/Common
paspalum notatum,,bahia grass,paspalum,poaceae,poales,monocots,,grasses,,Expo,herb,South America,Cultivated,Moderate,Limited,Widespread/Common
passiflora caerulea,,bluecrown passionflower,passiflora,passifloraceae,malpighiales,dicots,,passionfruit,,embassy garden,vine,South America,Both,Moderate,Limited,Widespread/Common
passiflora edulis,,common passionfruit,passiflora,passifloraceae,malpighiales,dicots,,passionfruit,,yarmouk river,vine,South America,Cultivated,Moderate,Limited,Widespread/Common
,,,pastinaca,apiaceae,apiales,dicots,parsnips,,,NA,herb,Europe,Cultivated,Moderate,Limited,Widespread/Common
paulownia tomentosa,,princess tree,paulownia,paulowniaceae,lamiales,dicots,,,tree,kew,tree,Asia,Both,Moderate,Limited,Widespread/Common
pelargonium myrrhifolium,,myrrhleaf storksbill,pelargonium,geraniaceae,geraniales,dicots,,geraniums,,Scandinavian forest,herb,Africa,Wild,Low,None,Widespread/Common
pelargonium peltatum,,ivy geranium,pelargonium,geraniaceae,geraniales,dicots,,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
pelargonium x hybridum,,garden geranium,pelargonium,geraniaceae,geraniales,dicots,,geraniums,,office,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,pelargonium,geraniaceae,geraniales,dicots,geraniums,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
peltandra virginica,,green arrow arum,peltandra,araceae,alismatales,monocots,,,,jakarta,herb,Eastern North America,Wild,Low,None,Widespread/Common
pennisetum setaceum,,fountain grass,pennisetum,poaceae,poales,monocots,fountain grasses,grasses,,Expo,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,penstemon,plantaginaceae,lamiales,dicots,beardtongue,,,NA,herb,North America,Both,High,Limited,Widespread/Common
,,,peperomia,piperaceae,piperales,dicots,,,,NA,herb,Central America,Cultivated,High,Limited,Widespread/Common
persea americana,,avocado,persea,lauraceae,laurales,early angiosperms,avocadoes,,,Fifty plants,tree,Central America,Cultivated,Moderate,Major,Widespread/Common
persea americana,,avocado,persea,lauraceae,laurales,early angiosperms,,,,bandung,tree,Central America,Cultivated,Moderate,Major,Widespread/Common
,,,persicaria,polygonaceae,caryophyllales,dicots,smartweeds,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
petrea volubilis,,queen's wreath,petrea,verbenaceae,lamiales,dicots,,,,yogyakarta,vine,Central America,Cultivated,High,Limited,Widespread/Common
petunia x atkinsiana,,garden petunia,petunia,solanaceae,solanales,dicots,,,,NA,herb,South America,Cultivated,High,Limited,Widespread/Common
,,,phalaenopsis,orchidaceae,asparagales,monocots,moth orchids,,,NA,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
phellodendron amurense,,amur corktree,phellodendron,rutaceae,sapindales,dicots,corktrees,,,greenwich,tree,Asia,Both,Low,Limited,Widespread/Common
,,,philodendron,araceae,alismatales,monocots,chinese ivy,,,NA,vine,Central America,Cultivated,High,Limited,Widespread/Common
phleum pratense,,timothy grass,phleum,poaceae,poales,monocots,,,,kintbury,herb,Europe,Cultivated,Moderate,Major,Widespread/Common
phlomis fruticosa,,jerusalem sage,phlomis,lamiaceae,lamiales,dicots,,mints,,Office,shrub,Mediterranean,Both,Moderate,Limited,Widespread/Common
phlox paniculata,,garden phlox,phlox,polemoniaceae,ericales,dicots,,,,london,herb,Eastern North America,Cultivated,High,Limited,Widespread/Common
pheonix dactylifera,,date palm,phoenix,arecaceae,arecales,monocots,,palms,tree,Expo,tree,Middle East,Cultivated,Moderate,Major,Widespread/Common
photinia x fraseri,,red tip photinia,photinia,rosaceae,rosales,dicots,,roses,,Office,shrub,Asia,Cultivated,High,Limited,Widespread/Common
phragmites australis,,common reed,phragmites,poaceae,poales,monocots,,,,london,herb,Worldwide,Wild,Low,None,Widespread/Common
,,,phragmites,poaceae,poales,monocots,reed,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
,,,phyllocladus,podocarpaceae,araucariales,conifers,celery pine,,,NA,tree,Southern Hemisphere,Wild,Low,None,Locally common
picea abies,,norway spruce,picea,pinaceae,pinales,conifers,spruce,,tree,Kew,tree,Europe,Both,Moderate,Limited,Widespread/Common
picea glauca,,white spruce,picea,pinaceae,pinales,conifers,spruces,,tree,charlevoix,tree,North America,Both,Low,Limited,Widespread/Common
picea orientales,,caucasian spruce,picea,pinaceae,pinales,conifers,spruce,,tree,kew,tree,Asia,Both,Low,Limited,Widespread/Common
picea pungens,,blue spruce,picea,pinaceae,pinales,conifers,,,tree,nanaimo,tree,Western North America,Both,Moderate,Limited,Widespread/Common
picea sitchensis,,sitka spruce,picea,pinaceae,pinales,conifers,spruce,,tree,kew,tree,Western North America,Both,Low,Major,Widespread/Common
picea sitchensis,,sitka spruce,picea,pinaceae,pinales,conifers,,,tree,sooke,tree,Western North America,Both,Low,Major,Widespread/Common
picea smithiana,,west himalayan spruce,picea,pinaceae,pinales,conifers,spruce,,tree,kew,tree,Himalayas,Both,Low,Limited,Widespread/Common
pilosella aurantiaca,,fox-and-cubs,pilosella,asteraceae,asterales,dicots,hawkweeds,,,charlevoix,herb,Europe,Wild,Low,None,Widespread/Common
,,,pimenta,myrtaceae,myrtales,dicots,allspice,,,NA,tree,Caribbean,Cultivated,Low,Limited,Widespread/Common
pinus banksiana,,jack pine,pinus,pinaceae,pinales,conifers,pines,,tree,charlevoix,tree,North America,Wild,Low,Limited,Widespread/Common
pinus halepensis,,aleppo pine,pinus,pinaceae,pinales,conifers,pines,pine,tree,Scandinavian forest,tree,Mediterranean,Both,Low,Limited,Widespread/Common
pinus heldreichii,,bosnian pine,pinus,pinaceae,pinales,conifers,pines,,tree,kew,tree,Europe,Both,Low,Limited,Locally common
pinus mugo,,mountain pine,pinus,pinaceae,pinales,conifers,,,tree,nanaimo,tree,Europe,Both,Moderate,Limited,Widespread/Common
pinus nigra,,austrian pine,pinus,pinaceae,pinales,conifers,pines,,tree,kew,tree,Europe,Both,Moderate,Limited,Widespread/Common
pinus patula,,jelecote pine,pinus,pinaceae,pinales,conifers,pines,,tree,Kew,tree,Central America,Both,Low,Limited,Widespread/Common
pinus resinosa,,red pine,pinus,pinaceae,pinales,conifers,pines,,tree,charlevoix,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
pinus roxburghii,,chir pine,pinus,pinaceae,pinales,conifers,pines,,tree,kew,tree,Himalayas,Both,Low,Limited,Widespread/Common
pinus strobus,,eastern white pine,pinus,pinaceae,pinales,conifers,pines,,tree,greenwich,tree,Eastern North America,Both,Low,Limited,Widespread/Common
pinus sylvestris,,scots pine,pinus,pinaceae,pinales,conifers,pines,,tree,london,tree,Europe,Both,Low,Limited,Widespread/Common
piper excelsum,,kawakawa,piper,piperaceae,piperales,dicots,pepper plants,,,Kew,shrub,New Zealand,Wild,Low,None,Locally common
piper nigrum,,black pepper,piper,piperaceae,piperales,dicots,pepper plants,pepper,,Fifty plants,vine,India,Cultivated,Moderate,Major,Widespread/Common
pistacia chinensis,,chinese pistache,pistacia,anacardiaceae,sapindales,dicots,,,,greenwich,tree,Asia,Both,Moderate,Limited,Widespread/Common
pistacia terebinthus,,terebinth,pistacia,anacardiaceae,sapindales,dicots,pistachio,cashews and sumac,,umm qais,tree,Mediterranean,Wild,Low,None,Widespread/Common
,,,pistia,araceae,alismatales,monocots,water cabbage,,,NA,herb,Tropical worldwide,Wild,Low,None,Widespread/Common
pisum sativum,,pea,pisum,fabaceae,fabales,dicots,,legumes,,Fifty plants,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
pithecellobium dulce,,guamuchil,pithecellobium,fabaceae,fabales,dicots,,legumes,,Expo,tree,Central America,Both,Low,Limited,Widespread/Common
pittosporum crassifolium,,karo,pittosporum,pittosporaceae,apiales,dicots,,,,Kew,shrub,New Zealand,Both,Low,None,Locally common
