
SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
gleditsia japonica,,japanese locust,gleditsia,fabaceae,fabales,dicots,,legume family,phanerophyte,kew,tree,Asia,,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
gleditsia triacanthos,,honey locust,gleditsia,fabaceae,fabales,dicots,honey locusts,legume family,phanerophyte,greenwich,tree,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
gliricidia sepium,,madre de cacao,gliricidia,fabaceae,fabales,dicots,,legume family,,timor leste,tree,Central America,,Central America,Northern,Cultivated,Low,Limited,Widespread/Common,natural,,
glycine max,,soybean,glycine,fabaceae,fabales,dicots,,legumes,,Fifty plants,herb,Asia,,Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
gomphocarpus fruticopus,,narrow-leaf cotton,gomphocarpus,apocynaceae,gentianales,dicots,,dog-banes,,petra desert,herb,Africa,,Africa,Both,Wild,Low,None,Widespread/Common,natural,,
gomphrena globosa,,globe amaranth,gomphrena,amaranthaceae,caryophyllales,dicots,,,,luang prabang,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
gossypium hirsutum,,cotton,gossypium,malvaceae,malvales,dicots,,mallows,,Fifty Plants,herb,Central America,,Central America,Northern,Cultivated,High,Major,Widespread/Common,natural,,
graptopetalum paraguayense,,ghost-plant,graptopetalum,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
grevillea robusta,,silk oak,grevillea,proteaceae,proteales,dicots,,proteas,phanerophyte,around amman,tree,Australia,Australia,Australia,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,hamamelis,hamamelidaceae,saxifragales,dicots,witch hazel,,,,shrub,Asia,,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
hamelia patens,,firebush,hamelia,rubiaceae,gentianales,dicots,,madder,,yarmouk river,shrub,Central America,,Central America,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,haworthia,asphodelaceae,asparagales,monocots,haworthias,,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
hebe speciosa,,veronica speciosa,hebe,plantaginaceae,lamiales,dicots,hebes,,,around amman,shrub,New Zealand,New Zealand,Oceania,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
hedera helix,,common ivy,hedera,araliaceae,apiales,dicots,,aralia,,Amman garden,vine,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
hedychium coronarium,,white ginger lily,hedychium,zingiberaceae,zingiberales,monocots,,,,singapore,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,helenium,asteraceae,asterales,dicots,sneezeweeds,daisy family,,,herb,North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
helianthus annuus,,sunflower,helianthus,asteraceae,asterales,dicots,,daisy and sunflower,,Fifty plants,herb,North America,,North America,Northern,Cultivated,High,Major,Widespread/Common,natural,,
helianthus annuus,,common sunflower,helianthus,asteraceae,asterales,dicots,sunflowers,daisy family,,around amman,herb,North America,,North America,Northern,Both,High,Major,Widespread/Common,natural,,
heliconia bihai,,red palulu,heliconia,heliconiaceae,zingiberales,monocots,,,,jakarta,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
heliconia latispatha,,expanded lobsterclaw,heliconia,heliconiaceae,zingiberales,monocots,,,,Kew,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
heliconia rostrata,,hanging lobster claw,heliconia,heliconiaceae,zingiberales,monocots,,,,jakarta,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
heliopsis helianthoides,,false sunflower,heliopsis,asteraceae,asterales,dicots,oxeyes,daisy family,,greenwich,herb,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,heliotropium,boraginaceae,boraginales,dicots,heliotropes,borage family,,,herb,Tropical worldwide,,Tropical worldwide,Both,Both,Moderate,Limited,Widespread/Common,natural,,
hellenia speciosa,,crepe ginger,hellenia,costaceae,zingiberales,monocots,,,,singapore,herb,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
helminthotheca echioides,,bristly oxtongue,helminthotheca,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
hemerocallis lilioasphodelus,,yellow daylily,hemerocallis,asphodelaceae,asparagales,monocots,,,,london,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,hemerocallis,asphodelaceae,asparagales,monocots,daylilies,,,,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
heracleum sphondylium,,cow parsnip,heracleum,apiaceae,apiales,dicots,,carrot family,,kintbury,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
heuchera americana,,american alumroot,heuchera,saxifragaceae,saxifragales,dicots,,,,greenwich,herb,North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
heuchera micrantha,,crevice alumroot,heuchera,saxifragaceae,saxifragales,dicots,alumroots,,,greenwich,herb,North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
hevea brasiliensis,,rubber tree,hevea,euphorbiaceae,malpighiales,dicots,,spurges,,Fifty plants,tree,South America,,South America,Southern,Cultivated,Moderate,Major,Widespread/Common,natural,,
hibbertia scandens,,climbing guinea flower,hibbertia,dilleniaceae,dilleniales,dicots,,,,sydney,vine,Australia,Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,,
hibiscus moscheutos,,rose mallow,hibiscus,malvaceae,malvales,dicots,,mallow family,,new york,herb,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
hibiscus rosa-sinensis,,chinese hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallows,,yarmouk river,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
hibiscus sabdariffa,,roselle,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallow family,,luang prabang,herb,Africa,,Africa,Both,Cultivated,Moderate,Limited,Widespread/Common,natural,,
hibiscus syriacus,,common hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallow family,,around amman,shrub,Asia,,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
hibiscus tiliaceus,,sea hibiscus,hibiscus,malvaceae,malvales,dicots,,mallow family,,,tree,Tropical coastlines,,Tropical coastlines,Both,Wild,Low,None,Widespread/Common,natural,,
holcus lanatus,,tufted grass,holcus,poaceae,poales,monocots,,grass family,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
homalanthus populifolius,,bleeding heart,homalanthus,euphorbiaceae,malpighiales,dicots,,spurge family,,sydney,shrub,Australia,Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,,
hordeum murinum,,wild barley,hordeum,poaceae,poales,monocots,,grass family,,kintbury,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
hordeum vulgare,,barley,hordeum,poaceae,poales,monocots,barleys,grasses,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,natural,,
,,,hosta,asparagaceae,asparagales,monocots,hostas,,,,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,hoya,apocynaceae,gentianales,dicots,waxplant,,,,vine,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
humulus lupulus,,hop,humulus,cannabaceae,rosales,dicots,,,,Fifty plants,vine,Northern Hemisphere,,,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
,,,hyacinthus,asparagaceae,asparagales,monocots,hyacinths,,,,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
hydrangea arborescens,,smooth hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,,knighton,shrub,Eastern North America,,North America,Northern,Both,High,Limited,Widespread/Common,natural,,
hydrangea macrophylla,,mophead hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,,,greenwich,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
hydrangea quercifolia,,oakleaf hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,,new york,shrub,Eastern North America,,North America,Northern,Both,High,Limited,Widespread/Common,natural,,
hylocomium splendens,,stairstep moss,hylocomium,hylocomiaceae,hypnales,mosses,hylocomium,,,charlevoix,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
hylodesmum glutinosum,,pointed-leaved tick-trefoil,hylodesmum,fabaceae,fabales,dicots,,legume family,,greenwich,herb,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
hylotelephium telephium,,orpine,hylotelephium,crassulaceae,saxifragales,dicots,,,,greenwich,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,hylotelephium,crassulaceae,saxifragales,dicots,orpines,,,,herb,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
hymenocallis littoralis,,beach spider lily,hymenocallis,amaryllidaceae,asparagales,monocots,,,,jakarta,herb,Tropical coastlines,,Tropical coastlines,Both,Cultivated,High,Limited,Widespread/Common,natural,,
hypericum perforatum,,st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,,knighton,herb,Europe,,Europe,Northern,Both,Low,Limited,Widespread/Common,natural,,
hypericum pulchrum,,slender st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
hypoestes phyllostachya,,polka dot plant,hypoestes,acanthaceae,lamiales,dicots,,,,ottawa,herb,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,hyssopus,lamiaceae,lamiales,dicots,hyssop,mint family,,,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
ibervillea lindheimeri,,snake apple,ibervillea,cucurbitaceae,cucurbitales,dicots,,,,yogyakarta,vine,North America,,North America,Northern,Wild,Low,None,Locally common,natural,,
ilex cornuta,,horned holly,ilex,aquifoliaceae,aquifoliales,dicots,holly,,,kintbury,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
ilex mucronata,,mountain holly,ilex,aquifoliaceae,aquifoliales,dicots,hollies,,,charlevoix,shrub,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
impatiens hawkeri,,new guinea impatiens,impatiens,balsaminaceae,ericales,dicots,,,,Kew,herb,New Guinea,New Guinea,Oceania,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
impatiens walleriana,,busy lizzie,impatiens,balsaminaceae,ericales,dicots,,,,bandung,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,imperata,poaceae,poales,monocots,satintails,grass family,,,herb,Tropical worldwide,,Tropical worldwide,Both,Wild,Low,None,Widespread/Common,natural,,
indigofera tinctoria,,indigo,indigofera,fabaceae,fabales,dicots,,legumes,,Fifty plants,herb,Asia,,Asia,Northern,Cultivated,Low,Major,Widespread/Common,natural,,
inula helenium,,elfdock,inula,asteraceae,asterales,dicots,,daisy family,,london,herb,Europe,,Europe,Northern,Both,Low,Limited,Widespread/Common,natural,,
ipomoea batatas,,sweet potato,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,bindweeds,,Fifty plants,herb,Central America,,Central America,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
ipomoea cairica,,coast morning glory,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,,,bandung,vine,Africa,,Africa,Both,Both,Low,None,Widespread/Common,natural,,
iresine herbstii,,bloodleaf,iresine,amaranthaceae,caryophyllales,dicots,,amaranth,,Expo,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
iris germanica,,bearded iris,iris,iridaceae,asparagales,monocots,irises,irises,,around amman,herb,Europe,,Europe,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
iris nigricans,,black iris,iris,iridaceae,asparagales,monocots,irises,irises,,online,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Locally common,natural,,
iris siberica,,siberian iris,Iris,iridaceae,asparagales,monocots,irises,,,Kew,herb,Asia,,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
ixora chinensis,,chinese ixora,ixora,rubiaceae,gentianales,dicots,,,,jakarta,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
ixora coccinea,,jungle flame,ixora,rubiaceae,gentianales,dicots,,,,,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
jacaranda mimosifolia,,blue jacaranda,jacaranda,bignoniaceae,lamiales,dicots,jacarandas,bignonia,phanerophyte,yarmouk river,tree,South America,,South America,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
jacobaea maritima,,silver ragwort,jacobaea,asteraceae,asterales,dicots,,daisy family,,around amman,herb,Mediterranean,,Mediterranean,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
jacobaea vulgaris,,ragwort,jacobaea,asteraceae,asterales,dicots,,daisy family,,london,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
jasminum mesnyi,,primrose jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,,embassy garden,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
jasminum nudiflorum,,winter jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive family,,knighton,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
jasminum sambac,,arabian jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,,yarmouk river,shrub,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
jatropha curcas,,poison nut,jatropha,euphorbiaceae,malpighiales,dicots,,spurge family,,luang prabang,shrub,Central America,,Central America,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
jatropha gossypiifolia,,bellyache bush,jatropha,euphorbiaceae,malpighiales,dicots,,spurge family,,timor leste,shrub,Central America,,Central America,Northern,Wild,Low,None,Widespread/Common,natural,,
jatropha integerrima,,peregrina,jatropha,euphorbiaceae,malpighiales,dicots,,spurge family,,,shrub,Caribbean,,Caribbean,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
juglans nigra,,eastern black walnut,juglans,juglandaceae,fagales,dicots,walnuts,,phanerophyte,greenwich,tree,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
juglans regia,,persian walnut,juglans,juglandaceae,fagales,dicots,walnuts,walnuts,,online,tree,Asia,,Asia,Northern,Cultivated,High,Major,Widespread/Common,natural,,
,,,juncus,juncaceae,poales,monocots,rushes,,,,herb,Worldwide,,Worldwide,Both,Wild,Low,None,Widespread/Common,natural,,
juniperus communis,,common juniper,juniperus,cupressaceae,cupressales,conifers,juniper,cypress family,phanerophyte,,shrub,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
juniperus oxycedrus,,western prickly juniper,juniperus,cupressaceae,cupressales,conifers,juniper,cypress family,phanerophyte,,shrub,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
justicia spicigera,,moyotle,justicia,acanthaceae,lamiales,dicots,justicia,,,around amman,herb,Central America,,Central America,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
kalanchoe blossfeldiana,,flaming katy,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,herb,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
kalanchoe daigremontiana,,alligator plant,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,herb,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
kalanchoe pinnatum,,life plant,kalanchoe,crassulaceae,saxifragales,dicots,,,,luang prabang,herb,Madagascar,Madagascar,Africa,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
kigelia africana,,sausage tree,kigelia,bignoniaceae,lamiales,dicots,,,phanerophyte,jakarta,tree,Africa,,Africa,Both,Both,Low,None,Widespread/Common,natural,,
,,,knautia,caprifoliaceae,dipsacales,dicots,widow flowers,,,,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
kniphofia uvaria,,red hot poker,kniphofia,asphodelaceae,asparagales,monocots,,,,london,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,kniphofia,asphodelaceae,asparagales,monocots,red hot poker,,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,koelreuteria,sapindaceae,sapindales,dicots,rain trees,soapberry family,,,tree,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
kroenleinia grusonii,,golden barrel cactus,kroenleinia,cactaceae,caryophyllales,dicots,,cactus family,,,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
kumara plicatilis,,fan aloe,kumara,asphodelaceae,asparagales,monocots,,,,singapore,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
kunzea robusta,,rawinui,kunzea,myrtaceae,myrtales,dicots,,myrtle family,,Kew,tree,New Zealand,New Zealand,Oceania,Southern,Wild,Low,None,Locally common,natural,,
lactuca serriola,,prickly lettuce,lactuca,asteraceae,asterales,dicots,,daisy family,,,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,lamium,lamiaceae,lamiales,dicots,dead-nettle,mint family,,,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
lantana camara,,common lantana,lantana,verbenaceae,lamiales,dicots,,,,Kempinski,shrub,Central America,,Central America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
larix decidua,,,larix,pinaceae,pinales,conifers,larches,pine family,,knighton,tree,Europe,,Europe,Northern,Both,Low,Limited,Widespread/Common,natural,,
larix kaempferi,,japanese larch,larix,pinaceae,pinales,conifers,larches,pine family,phanerophyte,kew,tree,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
larix laricina,,tamarack,larix,pinaceae,pinales,conifers,larches,pine family,,charlevoix,tree,North America,,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,,
lathyrus odoratus,,sweet pea,lathyrus,fabaceae,fabales,dicots,,legumes,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
lathyrus sylvestris,,flat pea,lathyrus,fabaceae,fabales,dicots,sweet peas and vetchlings,legume family,,charlevoix,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,laurus,lauraceae,laurales,early angiosperms,laurels,,,,tree,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
lavandula angustifolia,,english lavender,lavandula,lamiaceae,lamiales,dicots,lavanders,mints,,Expo,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
lavandula dentata,,french lavender,lavandula,lamiaceae,lamiales,dicots,,mints,,Office,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
lavandula stoechas,,topped lavender,lavandula,lamiaceae,lamiales,dicots,,mints,,garden,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
lemmaphyllum microphyllum,,green penny fern,lemmaphyllum,polypodiacea,polypodiales,ferns,,,,jakarta,herb,Asia,,Asia,Northern,Wild,Low,None,Widespread/Common,natural,,
leonurus cardiaca,,common motherwort,leonorus,lamiaceae,lamiales,dicots,,mint family,,greenwich,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,leontopodium,asteraceae,asterales,dicots,edelweiss,daisy family,,,herb,Mountains of Europe,Mountains of Europe,Europe,Northern,Wild,Moderate,Limited,Locally common,natural,,
,,,leptospermum,myrtaceae,myrtales,dicots,manuka,myrtle family,,,shrub,Australia,Australia,Australia,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
leucadendron argenteum,,cape silver tree,leucadendron,proteaceae,proteales,dicots,,proteas,phanerophyte,Kew,tree,Africa,,Africa,Both,Cultivated,Moderate,Limited,Rare,natural,,
,,,leucaena,fabaceae,fabales,dicots,leadtrees,legume family,,,tree,Central America,,Central America,Northern,Both,Low,Limited,Widespread/Common,natural,,
,,,leucojum,amaryllidaceae,asparagales,monocots,snowflakes,,,,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
leucophyllum frutescens,,cenizo,leucophyllum,scrophulariaceae,lamiales,dicots,,,,Expo,shrub,North America,,North America,Northern,Both,Low,None,Widespread/Common,natural,,
leucospermum conocarpodendron,,grey tree-pincushion,leucospermum,proteaceae,proteales,dicots,,proteas,,kew,shrub,Africa,,Africa,Both,Cultivated,Moderate,Limited,Locally common,natural,,
leymus mollis,,american dune grass,leymus,poaceae,poales,monocots,,grass family,,sooke,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
liatris pycnostachya,,prairie blazing star,liatris,asteraceae,asterales,dicots,,daisy family,,new york,herb,North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
libertia ixioides,,mikoikoi,libertia,iridaceae,asparagales,monocots,,,,Kew,herb,New Zealand,New Zealand,Oceania,Southern,Both,Low,None,Locally common,natural,,
ligustrum lucidum,,tree privet,ligustrum,oleaceae,lamiales,dicots,privets,olive,,Amman garden,tree,Asia,,Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
lilium bulbiferum,,fire lily,lilium,liliaceae,liliales,monocots,lilies,lilies,,Flower bouquet,herb,Europe,,Europe,Northern,Both,High,Limited,Widespread/Common,natural,,
lilium lancifolioum,,tiger lily,lilium,liliaceae,liliales,monocots,lilies,lilies,,Flower bouquet,herb,Asia,,Asia,Northern,Both,High,Limited,Widespread/Common,natural,,
lilium martagon,,martagon lily,lilium,liliaceae,liliales,monocots,,,,sooke,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
linaria purpurea,,,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,,knighton,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
linaria vulgaris,,common toadflax,linaria,plantaginaceae,lamiales,dicots,toadflaxes,,,charlevoix,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
linum usitatissimum,,flax/linseed,linum,linaceae,malpighiales,dicots,,flaxes,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
Liquidambar formosana,,Chinese sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,sweetgum,,,Kew,tree,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
Liquidambar styraciflua,,American sweetgum,Liquidambar,altingiaceae,saxifragales,dicots,sweetgum,,,Kew,tree,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
liriodendron tulipifera,,tulip tree,liriodendron,magnoliaceae,magnoliales,early angiosperms,,,phanerophyte,kew,tree,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,lobelia,campanulaceae,asterales,dicots,lobelias,,,,herb,Worldwide,,Worldwide,Both,Both,High,Limited,Widespread/Common,natural,,
lobularia maritima,,sweet alyssym,lobularia,brassicaceae,brassicales,dicots,,mustard family,,around amman,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,lodoicea,arecaceae,arecales,monocots,double coconut,,,,tree,Seychelles,Seychelles,Africa,Southern,Wild,Low,None,Very rare/Endangered,natural,,
lonicera implexa,,mediterranean honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,,amman,vine,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
lonicera japonica,,japanese honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,honeysuckle,,Amman garden,vine,Asia,,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
lonicera morrowii,,morrow's honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,honeysuckles,,,greenwich,shrub,Asia,,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
lonicera periclymenum,,common honeysuckle,lonicera,caprifoliaceae,dipsacales,dicots,,,,knighton,vine,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
ludwigia palustris,,water purslane,ludwigia,onagraceae,myrtales,dicots,,,,greenwich,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,ludwigia,onagraceae,myrtales,dicots,water purslane,,,,herb,Worldwide,,Worldwide,Both,Wild,Low,None,Widespread/Common,natural,,
luffa cylindrica,,sponge gourd,luffa,cucurbitaceae,cucurbitales,dicots,,,,luang prabang,herb,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,luffa,cucurbitaceae,cucurbitales,dicots,loofahs,,,,herb,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
lunaria annua,,honesty,lunaria,brassicaceae,brassicales,dicots,,mustard family,,knighton,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,luzula,juncaceae,poales,monocots,woodrush,,,,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
lycoris radiata,,red spider lily,lycoris,amaryllidaceae,asparagales,monocots,,,,perth,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
lysimachia clethroides,,gooseneck loosestrife,lysimachia,primulaceae,ericales,dicots,,,,greenwich,herb,Asia,,Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
lysimachia punctata,,dotted loosestrife,lysimachia,primulaceae,ericales,dicots,,,,knighton,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,lysimachia,primulaceae,ericales,dicots,loosestrife,,,,herb,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
maackia chinensis,,chinese maackia,maackia,fabaceae,fabales,dicots,,legume family,,kew,tree,Asia,,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
magnolia grandiflora,,southern magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,magnolias,magnolia,phanerophyte,Office,tree,Eastern North America,,North America,Northern,Both,High,Limited,Widespread/Common,natural,,
magnolia macrophylla,,bigleaf magnolia,magnolia,magnoliaceae,magnoliales,early angiosperms,magnolia,,phanerophyte,new york,tree,Eastern North America,,North America,Northern,Both,Moderate,Limited,Locally common,natural,,
maleleuca viminalis,,weeping bottlebrush,maleleuca,myrtaceae,myrtales,dicots,tea trees,myrtles,phanerophyte,Amman garden,tree,Australia,Australia,Australia,Southern,Both,High,Limited,Widespread/Common,natural,,
